log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-opt11-strips__pp11-err-rate-0-1.yaml,scanalyzer-opt11-strips__pp11-err-rate-0-1,scanalyzer-opt11-strips,greedy,10,1,"analyze-4,(analyzed ?c4),effPos,1",True,11,11,1,18,9,1.36,0.23,2.79,1.0,"analyze-4,(analyzed ?c4),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob09-err-rate-0-1.yaml,mystery__pprob09-err-rate-0-1,mystery,greedy,9,1,"succumb,(craves ?c ?n),effPos,1",True,47,51,1,96,48,3.89,1.53,7.22,1.0,"succumb,(craves ?c ?n),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob27-err-rate-0-1.yaml,mprime__pprob27-err-rate-0-1,mprime,greedy,5,1,"feast,(locale ?n2 ?n1),precPos,-1",False,3,,3,,,,,1.64,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-opt11-strips__pp04-err-rate-0-1.yaml,scanalyzer-opt11-strips__pp04-err-rate-0-1,scanalyzer-opt11-strips,greedy,14,0,,True,18,18,0,0,0,1.05,0.44,2.79,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob32-err-rate-0-1.yaml,mprime__pprob32-err-rate-0-1,mprime,greedy,8,0,,True,10,14,0,0,0,0.31,0.33,2.27,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/zenotravel__pp02-err-rate-0-5.yaml,zenotravel__pp02-err-rate-0-5,zenotravel,greedy,8,0,,True,10,11,0,0,0,0.2,0.17,1.59,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/zenotravel__pp01-err-rate-0-3.yaml,zenotravel__pp01-err-rate-0-3,zenotravel,greedy,1,0,,True,2,2,0,0,0,0.0,0.04,1.19,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/freecell__pprobfreecell-2-2-err-rate-0-1.yaml,freecell__pprobfreecell-2-2-err-rate-0-1,freecell,greedy,8,1,"sendtohome,(on ?homecard ?vcard),precPos,-1",False,2,,4,,,,,1.49,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-08-strips__pp04-err-rate-0-1.yaml,scanalyzer-08-strips__pp04-err-rate-0-1,scanalyzer-08-strips,greedy,14,0,,True,16,18,0,0,0,1.04,0.4,2.76,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-opt14-strips__pp01-err-rate-0-5.yaml,transport-opt14-strips__pp01-err-rate-0-5,transport-opt14-strips,greedy,13,1,"pick-up,(road ?l ?l),precPos,-1",False,1,,0,,,,,1.21,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/hiking-agl14-strips__ptesting-4-5-3-err-rate-0-3.yaml,hiking-agl14-strips__ptesting-4-5-3-err-rate-0-3,hiking-agl14-strips,greedy,14,0,,True,83,83,0,0,0,7.45,1.77,10.83,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps1-2-err-rate-0-5.yaml,miconic__ps1-2-err-rate-0-5,miconic,greedy,4,2,"board,(destin ?p ?f),precPos,-1
depart,(lift-at ?p),precPos,-1",False,2,,4,,,,,1.23,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps1-1-err-rate-0-3.yaml,miconic__ps1-1-err-rate-0-3,miconic,greedy,3,0,,True,4,4,0,0,0,0.01,0.05,1.21,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps2-3-err-rate-0-1.yaml,miconic__ps2-3-err-rate-0-1,miconic,greedy,7,1,"board,(lift-at ?p),precPos,-1",False,2,,3,,,,,1.23,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/satellite__pp03-pfile3-err-rate-0-1.yaml,satellite__pp03-pfile3-err-rate-0-1,satellite,greedy,11,0,,True,17,27,2,32,16,0.29,0.37,2.39,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/logistics98__pprob31-err-rate-0-1.yaml,logistics98__pprob31-err-rate-0-1,logistics98,greedy,14,0,,True,19,23,2,16,8,0.43,0.49,2.79,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml,tetris-opt14-strips__pp03-4-err-rate-0-5,tetris-opt14-strips,greedy,10,0,,True,11,13,2,8,4,0.56,0.31,2.15,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/nomystery-opt11-strips__pp12-err-rate-0-1.yaml,nomystery-opt11-strips__pp12-err-rate-0-1,nomystery-opt11-strips,greedy,15,0,,True,16,17,0,0,0,6.78,12.03,21.71,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-sat08-strips__pp01-err-rate-0-1.yaml,transport-sat08-strips__pp01-err-rate-0-1,transport-sat08-strips,greedy,6,1,"drop,(capacity-predecessor ?s2 ?s1),precPos,-1",False,5,,3,,,,,1.40,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob17-err-rate-0-1.yaml,mystery__pprob17-err-rate-0-1,mystery,greedy,4,0,,True,6,6,0,0,0,0.15,0.28,1.60,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/pegsol-08-strips__pp05-err-rate-0-3.yaml,pegsol-08-strips__pp05-err-rate-0-3,pegsol-08-strips,greedy,14,0,,True,15,111,0,0,0,1.13,0.64,14.17,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/blocks__pprobBLOCKS-5-0-err-rate-0-5.yaml,blocks__pprobBLOCKS-5-0-err-rate-0-5,blocks,greedy,12,2,"pick-up,(holding ?x),effPos,1
unstack,(clear ?y),effPos,1",False,6,,5,,,,,1.57,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/rovers__pp03-err-rate-0-3.yaml,rovers__pp03-err-rate-0-3,rovers,greedy,12,1,"sample_soil,(full ?s),precPos,-1",True,13,13,6,66,33,0.51,0.4,2.13,1.0,"sample_soil,(full ?s),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/blocks__pprobBLOCKS-6-1-err-rate-0-1.yaml,blocks__pprobBLOCKS-6-1-err-rate-0-1,blocks,greedy,10,0,,True,11,18,5,42,21,0.08,0.12,1.48,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-08-strips__pp25-err-rate-0-1.yaml,scanalyzer-08-strips__pp25-err-rate-0-1,scanalyzer-08-strips,greedy,10,0,,True,11,11,0,0,0,1.29,0.24,2.74,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob02-err-rate-0-1.yaml,mystery__pprob02-err-rate-0-1,mystery,greedy,14,1,"feast,(locale ?n1 ?l2),precPos,-1",False,28,,4,,,,,12.50,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/hiking-opt14-strips__pptesting-1-2-3-err-rate-0-5.yaml,hiking-opt14-strips__pptesting-1-2-3-err-rate-0-5,hiking-opt14-strips,greedy,13,1,"put_down,(next ?x2 ?x2),precPos,-1",False,1,,0,,,,,1.20,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps3-4-err-rate-0-3.yaml,miconic__ps3-4-err-rate-0-3,miconic,greedy,11,2,"down,(lift-at ?f2),effPos,1
up,(lift-at ?f2),effPos,1",True,12,19,3,86,43,0.25,0.19,2.03,4.0,"up,(lift-at ?f2),effPos,1
board,(lift-at ?f),effPos,1
board,(lift-at ?f),precPos,-1
down,(lift-at ?f2),effPos,1",longer,False,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob28-err-rate-0-1.yaml,mystery__pprob28-err-rate-0-1,mystery,greedy,9,1,"overcome,(province ?s2),precPos,-1",False,5,,3,,,,,2.60,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/freecell__pprobfreecell-3-5-err-rate-0-3.yaml,freecell__pprobfreecell-3-5-err-rate-0-3,freecell,greedy,14,1,"sendtohome-b,(clear ?homecard),precPos,-1",False,3,,4,,,,,2.38,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/zenotravel__pp02-err-rate-0-1.yaml,zenotravel__pp02-err-rate-0-1,zenotravel,greedy,8,1,"refuel,(at ?c ?l1),precPos,-1",False,5,,3,,,,,1.74,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-08-strips__pp04-err-rate-0-5.yaml,scanalyzer-08-strips__pp04-err-rate-0-5,scanalyzer-08-strips,greedy,14,0,,True,16,18,0,0,0,1.03,0.4,2.71,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/freecell__pprobfreecell-2-1-err-rate-0-3.yaml,freecell__pprobfreecell-2-1-err-rate-0-3,freecell,greedy,9,1,"sendtofree,(clear ?oldcard),effPos,1",False,6,,4,,,,,1.95,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/freecell__pprobfreecell-2-2-err-rate-0-5.yaml,freecell__pprobfreecell-2-2-err-rate-0-5,freecell,greedy,8,0,,True,9,9,0,0,0,0.34,0.25,1.80,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-opt08-strips__pp11-err-rate-0-3.yaml,transport-opt08-strips__pp11-err-rate-0-3,transport-opt08-strips,greedy,9,1,"pick-up,(in ?p ?v),effPos,1",True,10,10,3,30,15,0.21,0.15,1.54,1.0,"pick-up,(in ?p ?v),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob20-err-rate-0-3.yaml,mystery__pprob20-err-rate-0-3,mystery,greedy,8,1,"overcome,(fears ?c ?v),effPos,1",True,12,12,2,38,19,1.58,0.56,3.36,1.0,"overcome,(fears ?c ?v),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/gripper__pprob01-err-rate-0-3.yaml,gripper__pprob01-err-rate-0-3,gripper,greedy,11,1,"drop,(carry ?obj ?gripper),precPos,-1",True,27,29,4,158,79,0.77,0.33,2.36,1.0,"drop,(carry ?obj ?gripper),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-opt14-strips__pp01-err-rate-0-1.yaml,transport-opt14-strips__pp01-err-rate-0-1,transport-opt14-strips,greedy,13,1,"pick-up,(capacity ?v ?s2),effPos,1",True,16,19,2,20,10,0.49,0.3,2.29,1.0,"pick-up,(capacity ?v ?s2),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/satellite__pp03-pfile3-err-rate-0-5.yaml,satellite__pp03-pfile3-err-rate-0-5,satellite,greedy,11,0,,True,14,23,2,28,14,0.26,0.31,2.25,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps2-3-err-rate-0-5.yaml,miconic__ps2-3-err-rate-0-5,miconic,greedy,7,1,"up,(equality-op ?f1 ?f1),precPos,-1",True,8,8,4,28,14,0.09,0.1,1.50,1.0,"up,(equality-op ?f1 ?f1),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps2-0-err-rate-0-3.yaml,miconic__ps2-0-err-rate-0-3,miconic,greedy,8,2,"up,(lift-at ?f2),effPos,1
board,(served ?p),effPos,1",True,9,9,3,22,11,0.11,0.11,1.41,2.0,"up,(lift-at ?f2),effPos,1
board,(served ?p),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps1-2-err-rate-0-1.yaml,miconic__ps1-2-err-rate-0-1,miconic,greedy,4,0,,True,5,5,0,0,0,0.02,0.06,1.23,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-opt11-strips__pp11-err-rate-0-5.yaml,scanalyzer-opt11-strips__pp11-err-rate-0-5,scanalyzer-opt11-strips,greedy,10,0,,True,11,11,0,0,0,1.28,0.23,2.81,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob09-err-rate-0-5.yaml,mystery__pprob09-err-rate-0-5,mystery,greedy,9,2,"feast,(craves ?v ?n2),effPos,1
succumb,(craves ?c ?n),effPos,1",False,5,,2,,,,,2.38,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob24-err-rate-0-3.yaml,mprime__pprob24-err-rate-0-3,mprime,greedy,13,1,"overcome,(eats ?c ?v),precPos,-1",False,10,,2,,,,,9.13,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob27-err-rate-0-5.yaml,mprime__pprob27-err-rate-0-5,mprime,greedy,5,1,"feast,(craves ?v ?n2),effPos,1",False,6,,2,,,,,2.20,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3.yaml,hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3,hiking-opt14-strips,greedy,10,0,,True,14,14,0,0,0,0.83,0.24,2.38,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-opt11-strips__pp04-err-rate-0-5.yaml,scanalyzer-opt11-strips__pp04-err-rate-0-5,scanalyzer-opt11-strips,greedy,14,0,,True,16,18,0,0,0,1.02,0.4,2.71,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob31-err-rate-0-3.yaml,mprime__pprob31-err-rate-0-3,mprime,greedy,5,0,,True,6,7,0,0,0,0.12,0.21,1.54,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob32-err-rate-0-5.yaml,mprime__pprob32-err-rate-0-5,mprime,greedy,8,1,"feast,(craves ?v ?n2),effPos,1",False,4,,3,,,,,1.98,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-sat11-strips__pp01-err-rate-0-3.yaml,scanalyzer-sat11-strips__pp01-err-rate-0-3,scanalyzer-sat11-strips,greedy,10,0,,True,11,11,0,0,0,1.29,0.24,2.74,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/visitall-opt11-strips__pproblem04-half-err-rate-0-3.yaml,visitall-opt11-strips__pproblem04-half-err-rate-0-3,visitall-opt11-strips,greedy,11,1,"move,(connected ?nextpos ?nextpos),precPos,-1",False,1,,0,,,,,1.22,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob10-err-rate-0-3.yaml,mprime__pprob10-err-rate-0-3,mprime,greedy,8,0,,True,13,13,0,0,0,0.69,0.85,2.78,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/hiking-opt14-strips__pptesting-1-2-3-err-rate-0-1.yaml,hiking-opt14-strips__pptesting-1-2-3-err-rate-0-1,hiking-opt14-strips,greedy,13,0,,True,17,20,4,16,8,0.73,0.23,2.35,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob28-err-rate-0-5.yaml,mystery__pprob28-err-rate-0-5,mystery,greedy,9,2,"feast,(locale ?v ?l2),precPos,-1
overcome,(orbits ?c ?s1),precPos,-1",False,1,,0,,,,,1.19,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob05-err-rate-0-3.yaml,mprime__pprob05-err-rate-0-3,mprime,greedy,14,0,,True,19,26,2,8,4,1.0,0.68,3.64,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/tetris-opt14-strips__pp03-4-err-rate-0-1.yaml,tetris-opt14-strips__pp03-4-err-rate-0-1,tetris-opt14-strips,greedy,10,1,"move_l_down,(clear ?xy_initial1),effPos,1",True,11,13,2,26,13,0.48,0.31,2.06,1.0,"move_l_down,(clear ?xy_initial1),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/logistics98__pprob31-err-rate-0-5.yaml,logistics98__pprob31-err-rate-0-5,logistics98,greedy,14,3,"fly-airplane,(equality-op ?airplane ?loc-to),precPos,-1
load-truck,(in ?truck ?truck),precPos,-1
fly-airplane,(in ?loc-to ?loc-to),effPos,1",False,42,,4,,,,,6.42,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob17-err-rate-0-5.yaml,mystery__pprob17-err-rate-0-5,mystery,greedy,4,0,,True,6,6,0,0,0,0.14,0.29,1.63,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob14-err-rate-0-3.yaml,mystery__pprob14-err-rate-0-3,mystery,greedy,11,1,"overcome,(harmony ?n ?v),precPos,-1",False,5,,3,,,,,5.34,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/nomystery-opt11-strips__pp12-err-rate-0-5.yaml,nomystery-opt11-strips__pp12-err-rate-0-5,nomystery-opt11-strips,greedy,15,0,,True,16,17,0,0,0,6.84,11.94,21.57,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-sat08-strips__pp01-err-rate-0-5.yaml,transport-sat08-strips__pp01-err-rate-0-5,transport-sat08-strips,greedy,6,1,"pick-up,(capacity-predecessor ?s2 ?s2),precPos,-1",False,1,,0,,,,,1.17,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/nomystery-opt11-strips__pp11-err-rate-0-3.yaml,nomystery-opt11-strips__pp11-err-rate-0-3,nomystery-opt11-strips,greedy,12,1,"load,(in ?p ?t),effPos,1",True,13,14,3,28,14,1.43,1.52,4.24,1.0,"load,(in ?p ?t),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/blocks__pprobBLOCKS-6-1-err-rate-0-5.yaml,blocks__pprobBLOCKS-6-1-err-rate-0-5,blocks,greedy,10,0,,True,11,18,5,42,21,0.08,0.12,1.49,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/blocks__pprobBLOCKS-5-0-err-rate-0-1.yaml,blocks__pprobBLOCKS-5-0-err-rate-0-1,blocks,greedy,12,1,"unstack,(ontable ?x),precPos,-1",False,1,,0,,,,,1.66,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-08-strips__pp25-err-rate-0-5.yaml,scanalyzer-08-strips__pp25-err-rate-0-5,scanalyzer-08-strips,greedy,10,0,,True,11,11,0,0,0,1.22,0.25,2.89,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob02-err-rate-0-5.yaml,mystery__pprob02-err-rate-0-5,mystery,greedy,14,2,"succumb,(craves ?c ?n),effPos,1
overcome,(harmony ?v ?s1),effPos,1",False,48,,3,,,,,16.06,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob01-err-rate-0-3.yaml,mystery__pprob01-err-rate-0-3,mystery,greedy,5,1,"succumb,(craves ?c ?n),effPos,1",True,6,8,1,12,6,0.14,0.15,1.52,1.0,"succumb,(craves ?c ?n),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mystery__pprob11-err-rate-0-5.yaml,mystery__pprob11-err-rate-0-5,mystery,greedy,7,1,"succumb,(craves ?c ?n),effPos,1",True,8,11,2,20,10,0.41,0.24,1.99,1.0,"succumb,(craves ?c ?n),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/hiking-agl14-strips__ptesting-3-4-3-err-rate-0-5.yaml,hiking-agl14-strips__ptesting-3-4-3-err-rate-0-5,hiking-agl14-strips,greedy,13,2,"drive_tent,(at_person ?x1 ?x3),effPos,1
put_down,(not (at_tent ?x3 ?x2)),effNeg,-1",False,14,,4,,,,,3.21,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/scanalyzer-08-strips__pp23-err-rate-0-5.yaml,scanalyzer-08-strips__pp23-err-rate-0-5,scanalyzer-08-strips,greedy,5,0,,True,6,6,0,0,0,0.23,0.1,1.60,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/tpp__pp03-err-rate-0-5.yaml,tpp__pp03-err-rate-0-5,tpp,greedy,11,1,"buy,(next ?l4 ?l1),effPos,1",True,12,14,4,8,4,0.53,0.2,2.48,1.0,"buy,(next ?l4 ?l1),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/nomystery-opt11-strips__pp01-err-rate-0-5.yaml,nomystery-opt11-strips__pp01-err-rate-0-5,nomystery-opt11-strips,greedy,11,2,"drive,(fuel ?t ?fuelpre),precPos,-1
load,(in ?p ?t),effPos,1",True,12,12,3,44,22,1.72,2.48,5.58,2.0,"drive,(fuel ?t ?fuelpre),precPos,-1
load,(in ?p ?t),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/nomystery-opt11-strips__pp02-err-rate-0-3.yaml,nomystery-opt11-strips__pp02-err-rate-0-3,nomystery-opt11-strips,greedy,14,1,"unload,(at ?p ?l),effPos,1",True,15,16,2,30,15,14.36,21.15,38.80,1.0,"unload,(at ?p ?l),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/transport-sat08-strips__pp11-err-rate-0-3.yaml,transport-sat08-strips__pp11-err-rate-0-3,transport-sat08-strips,greedy,11,1,"pick-up,(capacity ?v ?s1),effPos,1",False,6,,3,,,,,1.85,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob29-err-rate-0-3.yaml,mprime__pprob29-err-rate-0-3,mprime,greedy,4,0,,True,7,8,0,0,0,0.12,0.25,1.55,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/miconic__ps3-1-err-rate-0-1.yaml,miconic__ps3-1-err-rate-0-1,miconic,greedy,13,0,,True,14,22,4,48,24,0.17,0.22,1.91,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob16-err-rate-0-3.yaml,mprime__pprob16-err-rate-0-3,mprime,greedy,7,0,,True,8,8,0,0,0,0.21,0.29,1.69,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/gbfs-unary-ff relax-prec lp033/mprime__pprob15-err-rate-0-5.yaml,mprime__pprob15-err-rate-0-5,mprime,greedy,6,0,,True,8,10,1,2,1,0.29,0.4,2.14,0.0,,equal,,,,0.33,
