log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/logistics00__pprobLOGISTICS-4-2-err-rate-0-5.yaml,logistics00__pprobLOGISTICS-4-2-err-rate-0-5,logistics00,dfs,15,3,"drive-truck,(in-city ?truck ?city),precPos,-1
drive-truck,(in-city ?loc-to ?truck),effPos,1
load-airplane,(at ?loc ?airplane),precPos,-1",False,8,,-inf,,,,,2.03,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/miconic__ps1-1-err-rate-0-1.yaml,miconic__ps1-1-err-rate-0-1,miconic,dfs,3,1,"board,(boarded ?p),effPos,1",True,4,4,-inf,0,0,0.0,0.05,1.30,1.0,"board,(boarded ?p),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/miconic__ps2-3-err-rate-0-3.yaml,miconic__ps2-3-err-rate-0-3,miconic,dfs,7,1,"board,(boarded ?p),effPos,1",True,8,18,-inf,0,0,0.0,0.11,1.33,2.0,"depart,(boarded ?p),precPos,-1
board,(served ?p),effPos,1",longer,False,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/miconic__ps2-0-err-rate-0-5.yaml,miconic__ps2-0-err-rate-0-5,miconic,dfs,8,2,"depart,(boarded ?p),precPos,-1
board,(served ?p),effPos,1",True,9,15,-inf,0,0,0.0,0.12,1.30,2.0,"depart,(boarded ?p),precPos,-1
board,(served ?p),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3.yaml,hiking-opt14-strips__pptesting-2-2-3-err-rate-0-3,hiking-opt14-strips,dfs,10,0,,True,443,484,-inf,0,0,0.0,9.8,14.33,1.0,"drive_tent,(not (at_person ?x1 ?x2)),effNeg,-1",longer,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/ged-opt14-strips__pd-8-2-err-rate-0-3.yaml,ged-opt14-strips__pd-8-2-err-rate-0-3,ged-opt14-strips,dfs,15,1,"end-cut-2,(have-cut ),effPos,1",True,28,43,-inf,0,0,0.0,0.67,2.38,1.0,"end-cut-2,(have-cut ),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob07-err-rate-0-3.yaml,mprime__pprob07-err-rate-0-3,mprime,dfs,5,0,,True,6,12,-inf,0,0,0.0,0.23,1.41,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/scanalyzer-08-strips__pp22-err-rate-0-3.yaml,scanalyzer-08-strips__pp22-err-rate-0-3,scanalyzer-08-strips,dfs,5,0,,True,6,21,-inf,0,0,0.0,0.11,1.32,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/ged-opt14-strips__pd-2-8-err-rate-0-3.yaml,ged-opt14-strips__pd-2-8-err-rate-0-3,ged-opt14-strips,dfs,15,1,"invert-single-gene-a,(inverted ?x),effPos,1",True,28,43,-inf,0,0,0.0,0.69,2.37,1.0,"invert-single-gene-a,(inverted ?x),effPos,1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/blocks__pprobBLOCKS-6-0-err-rate-0-3.yaml,blocks__pprobBLOCKS-6-0-err-rate-0-3,blocks,dfs,12,2,"unstack,(on ?x ?x),effPos,1
unstack,(on ?y ?y),effPos,1",False,2,,-inf,,,,,1.26,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/ged-opt14-strips__pd-8-1-err-rate-0-5.yaml,ged-opt14-strips__pd-8-1-err-rate-0-5,ged-opt14-strips,dfs,14,2,"end-cut-2,(have-cut ),effPos,1
end-cut-2,(cut-point-2 ?y),precPos,-1",True,22,39,-inf,0,0,0.0,0.48,2.09,2.0,"end-cut-2,(have-cut ),effPos,1
end-cut-2,(cut-point-2 ?y),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob04-err-rate-0-5.yaml,mprime__pprob04-err-rate-0-5,mprime,dfs,9,0,,True,12,39,-inf,0,0,0.0,0.4,1.67,1.0,"feast,(not (craves ?v ?n1)),effNeg,-1",longer,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/woodworking-sat08-strips__pp02-err-rate-0-3.yaml,woodworking-sat08-strips__pp02-err-rate-0-3,woodworking-sat08-strips,dfs,14,0,,False,,,,,,,,1.24,,,,,"An error occurred during A* search: 'smooth' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
ValueError: 'smooth' is not in list
","an error occurred during a* search: 'smooth' is not in list. stack trace: traceback (most recent call last):
  file ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=true)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = node.grounder(domain, task, next_action_pddl)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
valueerror: 'smooth' is not in list
",0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/woodworking-sat08-strips__pp01-err-rate-0-5.yaml,woodworking-sat08-strips__pp01-err-rate-0-5,woodworking-sat08-strips,dfs,6,1,"do-plane,(unused ?x),effPos,1",False,,,,,,,,1.19,,,,,"An error occurred during A* search: 'smooth' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
ValueError: 'smooth' is not in list
","an error occurred during a* search: 'smooth' is not in list. stack trace: traceback (most recent call last):
  file ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=true)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = node.grounder(domain, task, next_action_pddl)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
valueerror: 'smooth' is not in list
",0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/freecell__pprobfreecell-3-1-err-rate-0-1.yaml,freecell__pprobfreecell-3-1-err-rate-0-1,freecell,dfs,14,0,,True,17,30,-inf,0,0,0.0,0.66,2.22,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob12-err-rate-0-3.yaml,mprime__pprob12-err-rate-0-3,mprime,dfs,11,1,"feast,(locale ?n1 ?l1),effPos,1",False,4730,,-inf,,,,,222.43,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob11-err-rate-0-5.yaml,mprime__pprob11-err-rate-0-5,mprime,dfs,7,0,,True,8,17,-inf,0,0,0.0,0.24,1.43,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob33-err-rate-0-3.yaml,mprime__pprob33-err-rate-0-3,mprime,dfs,14,1,"feast,(craves ?v ?n2),effPos,1",False,10,,-inf,,,,,1.88,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/woodworking-opt11-strips__pp06-err-rate-0-1.yaml,woodworking-opt11-strips__pp06-err-rate-0-1,woodworking-opt11-strips,dfs,15,1,"do-grind,(colour ?x ?oldcolour),precPos,-1",False,,,,,,,,1.27,,,,,"An error occurred during A* search: 'medium' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in parse_domain
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
ValueError: 'medium' is not in list
","an error occurred during a* search: 'medium' is not in list. stack trace: traceback (most recent call last):
  file ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=true)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = node.grounder(domain, task, next_action_pddl)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in parse_domain
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
valueerror: 'medium' is not in list
",0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/satellite__pp03-pfile3-err-rate-0-5.yaml,satellite__pp03-pfile3-err-rate-0-5,satellite,dfs,11,0,,True,1699,1727,-inf,0,0,0.0,46.29,84.30,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob30-err-rate-0-5.yaml,mprime__pprob30-err-rate-0-5,mprime,dfs,9,0,,True,35,61,-inf,0,0,0.0,1.7,3.26,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/tetris-opt14-strips__pp02-4-err-rate-0-3.yaml,tetris-opt14-strips__pp02-4-err-rate-0-3,tetris-opt14-strips,dfs,14,0,,True,16,56,-inf,0,0,0.0,0.51,1.99,1.0,"move_two,(not (clear ?xy_final)),effNeg,-1",longer,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mystery__pprob19-err-rate-0-1.yaml,mystery__pprob19-err-rate-0-1,mystery,dfs,6,1,"feast,(pleasure ?l1),precPos,-1",False,1,,-inf,,,,,1.22,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/woodworking-opt08-strips__pp11-err-rate-0-3.yaml,woodworking-opt08-strips__pp11-err-rate-0-3,woodworking-opt08-strips,dfs,8,0,,False,,,,,,,,1.19,,,,,"An error occurred during A* search: 'verysmooth' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
ValueError: 'verysmooth' is not in list
","an error occurred during a* search: 'verysmooth' is not in list. stack trace: traceback (most recent call last):
  file ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=true)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = node.grounder(domain, task, next_action_pddl)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, addeffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
valueerror: 'verysmooth' is not in list
",0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/data-network-opt18-strips__pp04-err-rate-0-5.yaml,data-network-opt18-strips__pp04-err-rate-0-5,data-network-opt18-strips,dfs,12,1,"process,(usage ?s ?after),effPos,1",False,7,,-inf,,,,,1.69,,,,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/woodworking-opt08-strips__pp12-err-rate-0-5.yaml,woodworking-opt08-strips__pp12-err-rate-0-5,woodworking-opt08-strips,dfs,11,1,"do-plane,(unused ?x),precPos,-1",False,,,,,,,,1.26,,,,,"An error occurred during A* search: 'large' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in parse_domain
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
ValueError: 'large' is not in list
","an error occurred during a* search: 'large' is not in list. stack trace: traceback (most recent call last):
  file ""instance_solver.py"", line 106, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 140, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=true)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 198, in get_neighbors
    self.possible_groundings = node.grounder(domain, task, next_action_pddl)
  file ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 133, in ground_pddl
    parser.parse_domain(domain_path)
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in parse_domain
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
  file ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 213, in <listcomp>
    preconds_tuple = tuple([(preffix, precond.predicate.name, tuple([var_names.index(var.symbol) for var in precond.subterms])) for preffix, precond in preconds_list])
valueerror: 'large' is not in list
",0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/scanalyzer-sat11-strips__pp01-err-rate-0-1.yaml,scanalyzer-sat11-strips__pp01-err-rate-0-1,scanalyzer-sat11-strips,dfs,10,0,,True,11,1118,-inf,0,0,0.0,0.31,4.94,5.0,"analyze-4,(on ?c1 ?s1),effPos,1
analyze-4,(analyzed ?c3),effPos,1
analyze-4,(on ?c2 ?s2),effPos,1
analyze-4,(not (on ?c3 ?s3)),effNeg,-1
analyze-4,(not (on ?c4 ?s4)),effNeg,-1",longer,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob26-err-rate-0-3.yaml,mprime__pprob26-err-rate-0-3,mprime,dfs,6,1,"succumb,(fears ?c ?v),precPos,-1",True,16,19,-inf,0,0,0.0,0.6,1.81,1.0,"succumb,(fears ?c ?v),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/dfs relax-prec-delete lp066/mprime__pprob25-err-rate-0-5.yaml,mprime__pprob25-err-rate-0-5,mprime,dfs,4,0,,True,7,10,-inf,0,0,0.0,0.17,1.32,0.0,,equal,,,,0.66,
